# flnt: net longwave flux at top of model
# flntc: clear-sky net longwave flux at top of model
# fsnt: net shortwave flux at top of model
# fsntc: clear-sky net shortwave flux at top of model
# lwcf: longwave cloud forcing
# swcf: shortwave cloud forcing

lat,flnt,flntc,fsnt,fsntc,lwcf,swcf
-9.895287958,4.460393,2.427512,3.3997014,-0.019691996,-2.03288,3.42499
-8.952879581,4.3060193,2.3513892,3.4520407,-0.002500852,-1.9546297,3.460412
-8.010471204,4.013399,2.2560365,3.3597562,0.051939435,-1.7573613,3.3142962
-7.068062827,3.5447366,2.1176023,3.025312,0.0924867,-1.4271336,2.9400477
-6.12565445,2.9708524,1.9578851,2.5633035,0.12730068,-1.0129676,2.4438162
-5.183246073,2.4207118,1.785216,2.103434,0.14606296,-0.6354963,1.965683
-4.240837696,1.990315,1.6368964,1.9064356,0.17174572,-0.35341844,1.7432159
-3.298429319,1.7378442,1.5245614,1.9984622,0.20419724,-0.21328314,1.8026464
-2.356020942,1.6178498,1.4289427,2.1290588,0.22057989,-0.18890578,1.9165232
-1.413612565,1.5867529,1.3561724,2.2958112,0.24606238,-0.23057978,2.0573707
-0.471204188,1.5154738,1.2921524,2.2361174,0.2693598,-0.22332232,1.9742254
0.471204188,1.3891097,1.2337412,2.0793788,0.29655203,-0.15536809,1.7903856
1.413612565,1.2823327,1.1831403,1.8805654,0.32973692,-0.099193364,1.558778
2.356020942,1.2143027,1.1587344,1.6866165,0.35533917,-0.055567637,1.3398087
3.298429319,1.2126412,1.167182,1.6470463,0.37920508,-0.045461126,1.2768232
4.240837696,1.2935358,1.2119308,1.8162045,0.42185104,-0.08160583,1.4037365
5.183246073,1.4944718,1.2864196,2.1315932,0.4660831,-0.20805174,1.6750778
6.12565445,1.749125,1.3786073,2.5735426,0.5045218,-0.37051806,2.0783615
7.068062827,2.0929806,1.4950716,3.0963461,0.5375844,-0.59791064,2.5675342
8.010471204,2.4144797,1.61955,3.4874573,0.5539672,-0.7949306,2.9415078
8.952879581,2.6524856,1.7264217,3.7187958,0.57418793,-0.9260648,3.1517782
9.895287958,2.7916598,1.8101897,3.629007,0.60791194,-0.98147,3.0276136
10.83769634,2.903186,1.8649373,3.576798,0.65300286,-1.0382495,2.9297519
11.78010471,3.0320125,1.9078715,3.560165,0.68569446,-1.1241406,2.8799372
12.72251309,3.117813,1.9484342,3.5551348,0.7305975,-1.1693797,2.8295906
13.66492147,3.2068114,1.9996755,3.6275215,0.7719791,-1.2071372,2.8601542
14.60732984,3.3195112,2.0629168,3.7633166,0.8019897,-1.2565923,2.965482
15.54973822,3.4378657,2.126748,3.8962588,0.8105386,-1.3111174,3.0894513
16.4921466,3.5130813,2.1853626,3.9411044,0.818209,-1.3277206,3.126345
17.43455497,3.5763566,2.253522,4.0651803,0.83821964,-1.3228326,3.2301338
18.37696335,3.636533,2.3203714,4.1587973,0.8214844,-1.3161619,3.3402185
19.31937173,3.6611128,2.3825667,4.325942,0.8508083,-1.2785472,3.477895
20.2617801,3.7022083,2.4541893,4.420263,0.85450727,-1.2480174,3.5683322
21.20418848,3.7389612,2.5255415,4.48723,0.8847067,-1.2134191,3.6049864
22.14659686,3.7835138,2.6185176,4.609606,0.9118294,-1.164995,3.700198
