# relative_pr_ann: ratio of change in annual mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_djf: ratio of change in DJF mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_jja: ratio of change in JJA mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# aerosol_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# bc_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - PI)


lat,relative_pr_ann,relative_pr_djf,relative_pr_jja,aerosol_pr_ann,aerosol_pr_djf,aerosol_pr_jja,bc_pr_ann,bc_pr_djf,bc_pr_jja
-18.376963,1.3461337,0.8245904,0.14745712,-0.091236606,-0.09116483,-0.08927972,-0.018566461,-0.09721031,-0.03990812
-17.434555,0.5753615,0.109468065,4.4097958,-0.092708275,-0.090274625,-0.087902695,-0.05096571,-0.14510623,-0.05444808
-16.492147,-1.3968477,6.4521937,3.3541324,-0.09779316,-0.1073913,-0.09581666,-0.04025677,-0.07906023,-0.069683224
-15.549738,0.9179874,0.71221364,0.651325,-0.10758212,-0.11967916,-0.11129525,-0.02296245,0.000481627,-0.0808821
-14.607329,0.62292534,0.8451054,2.240361,-0.1182789,-0.11974335,-0.12498898,-0.068625875,-0.05411555,-0.08403219
-13.664922,1.4310341,1.0731368,-0.6033206,-0.12583335,-0.1276262,-0.121440805,-0.17147766,-0.20361322,-0.09886311
-12.722513,-4.660307,0.94051075,1.3617324,-0.13755558,-0.16468596,-0.101364784,-0.091484375,-0.06174097,-0.057199553
-11.780105,0.48006615,-0.01630073,0.086195946,-0.15627919,-0.21571237,-0.09002221,-0.07891455,-0.040918093,-0.04806402
-10.837696,0.8058778,3.8871298,0.7125691,-0.15947953,-0.20837718,-0.1142697,-0.078108415,-0.021400094,-0.057986934
-9.8952875,-0.7929779,6.630902,2.2282765,-0.16274287,-0.16580582,-0.17761594,-0.051714964,0.07635658,-0.08446221
-8.95288,-1.9854857,0.84228396,-0.21536009,-0.1504034,-0.05868762,-0.24836928,-0.003849202,0.18186408,-0.08453308
-8.010471,-0.37780768,2.3819723,-1.2909181,-0.08223019,0.15117812,-0.2966949,0.13152796,0.38573825,-0.029560195
-7.068063,0.0764141,0.8895179,0.43733937,0.025602236,0.36733335,-0.2931838,0.27582428,0.6014666,0.030928466
-6.125654,1.1204464,0.7506881,-0.9252025,0.13136537,0.52314824,-0.21279624,0.3413054,0.64330214,0.10102001
-5.183246,0.2775097,2.4119565,-0.07476476,0.22732316,0.5681693,-0.068178415,0.40165746,0.6309677,0.19080117
-4.2408376,0.75586283,-6.0427313,0.6733001,0.2898535,0.50987494,0.063049,0.34754768,0.44583824,0.22719622
-3.2984293,0.09083823,-2.3770623,1.1426893,0.3057922,0.39437208,0.14945929,0.32893664,0.34724522,0.22922505
-2.356021,0.83523,0.109621175,0.6304592,0.28554475,0.26730108,0.20059878,0.33702755,0.33429924,0.22515959
-1.4136126,1.5042987,1.0815516,1.1073128,0.25922093,0.15573049,0.23158053,0.20509623,0.17683329,0.11011937
-0.4712042,0.53335965,-0.93858445,0.7464557,0.26690593,0.11718944,0.29036734,0.14836958,0.101771474,0.08929578
0.4712042,1.3028655,-2.6596434,7.7260523,0.2957395,0.13367458,0.35895997,0.13391554,0.06302825,0.13391246
1.4136126,0.2651651,2.8680387,0.09340133,0.339729,0.20033298,0.4130221,0.18035027,0.1015148,0.209566
2.356021,-1.5432729,1.0183246,0.8808065,0.38405502,0.31284207,0.43872944,0.263464,0.1882238,0.29349384
3.2984293,5.2326083,0.10582282,-0.030745307,0.41839567,0.44045088,0.48419195,0.29178134,0.21090017,0.32698295
4.2408376,2.2180262,0.072339505,-3.529526,0.441023,0.5824216,0.53503925,0.26089963,0.14902426,0.3515186
5.183246,-0.7193584,0.76265407,0.3877765,0.44313043,0.6734047,0.58583045,0.18498147,0.035593644,0.3727877
6.125654,0.012754176,17.785267,0.91816413,0.40519932,0.5900308,0.6236644,0.08866138,-0.08766368,0.32053944
7.068063,0.8464604,-0.40028745,-0.51450765,0.30816814,0.32095286,0.5708693,-0.006486045,-0.14087488,0.19109717
8.010471,-6.0351324,1.3260872,0.33261564,0.1985788,0.05744258,0.452474,0.004817843,-0.06288452,0.13525315
8.95288,4.9901767,-0.27809766,0.68627477,0.14171104,-0.043598905,0.39765993,0.037001237,0.10606408,0.11088762
9.8952875,-0.22213162,0.8969647,1.0879492,0.13351072,0.022401419,0.3634411,0.06087327,0.23130894,0.080807075
10.837696,-3.9058979,3.162228,1.2541617,0.14282465,0.10822455,0.32098705,0.10083737,0.2661728,0.08944849
11.780105,1.0451041,1.5743121,-0.55044836,0.14977252,0.14031453,0.28282028,0.1530748,0.23765093,0.16592018
12.722513,0.3352095,0.65952057,0.9821599,0.15559101,0.14191432,0.25078216,0.16588373,0.17484426,0.19869547
13.664922,-0.7557454,0.9150555,-3.1955354,0.15535429,0.13098022,0.21512903,0.143068,0.12773842,0.17236657
14.607329,-0.04711508,0.18718825,0.24076182,0.13897604,0.10698417,0.16088182,0.14289516,0.11910558,0.16282748
15.549738,2.921065,0.58896875,0.15858094,0.12211153,0.080087356,0.114453726,0.10615829,0.07813118,0.11196637
16.492147,0.23297286,1.1150333,-5.2552485,0.11090921,0.07472632,0.0827606,0.07393381,0.048473388,0.054049566
17.434555,-1.255186,-1.2792475,3.6699343,0.09809326,0.06735193,0.04440166,0.02685087,0.024620516,-0.027754847
18.376963,-1.2447273,-0.48111168,-2.8414927,0.09228224,0.054044567,0.024841819,0.013833488,0.016442338,-0.05332786
19.319372,1.5939989,-4.782288,-1.1372702,0.09174201,0.047277775,0.02346752,0.012650079,0.017852746,-0.048198726
20.26178,-0.13855815,-1.8442293,-3.5270967,0.08004674,0.037622083,-0.001668884,0.003303813,-0.000616438,-0.039784085
